model,benchmark,category,template,count,denominator,percentage
DeepSeek-Prover-V2-7B,FATE-H,Type mismatch,invalid 'ID' notation: The expected type 'ID' has more than one constructor,27,3914,0.689831
DeepSeek-Prover-V2-7B,FATE-H,Tactic failure,linarith failed to find a contradiction,24,3914,0.613183
DeepSeek-Prover-V2-7B,FATE-H,Tactic failure,tactic 'ID' failed,24,3914,0.613183
DeepSeek-Prover-V2-7B,FATE-H,Missing instance,type class instance expected,23,3914,0.587634
DeepSeek-Prover-V2-7B,FATE-H,Syntax error,unexpected token 'TOKEN'; expected 'TOKEN',23,3914,0.587634
DeepSeek-Prover-V2-7B,FATE-H,Missing instance,typeclass instance problem is stuck,21,3914,0.536536
DeepSeek-Prover-V2-7B,FATE-H,Tactic failure,could not synthesize default value for field 'ID' of 'ID' using tactics,20,3914,0.510986
DeepSeek-Prover-V2-7B,FATE-H,Tactic failure,"tactic 'ID' failed, 'ID' is not an inductive datatype",19,3914,0.485437
DeepSeek-Prover-V2-7B,FATE-H,Unresolved name,unknown universe level 'ID',19,3914,0.485437
DeepSeek-Prover-V2-7B,FATE-H,Unresolved name,'ID' is not a field of structure 'ID',17,3914,0.434338
DeepSeek-Prover-V2-7B,FATE-H,Tactic failure,no applicable extensionality theorem found for 'TYPE',13,3914,0.332141
DeepSeek-Prover-V2-7B,FATE-H,Tactic failure,invalid rewrite argument: expected an equality or iff proof or definition name,11,3914,0.281042
DeepSeek-Prover-V2-7B,FATE-H,Syntax error,unexpected token 'TOKEN'; expected command,10,3914,0.255493
DeepSeek-Prover-V2-7B,FATE-H,Type mismatch,fields missing: 'ID',10,3914,0.255493
DeepSeek-Prover-V2-7B,FATE-H,Tactic failure,"tactic 'ID' failed, motive is not type correct",9,3914,0.229944
DeepSeek-Prover-V2-7B,FATE-H,Tactic failure,"tactic 'ID' failed, expected the goal to be a binary relation",8,3914,0.204394
DeepSeek-Prover-V2-7B,FATE-H,Type mismatch,invalid argument name 'ID' for function 'ID',8,3914,0.204394
DeepSeek-Prover-V2-7B,FATE-H,Syntax error,unexpected token 'TOKEN'; expected identifier,7,3914,0.178845
DeepSeek-Prover-V2-7B,FATE-H,Type mismatch,invalid 'ID' notation: The expected type 'ID' is not an inductive type,7,3914,0.178845
DeepSeek-Prover-V2-7B,FATE-H,Type mismatch,invalid 'ID' notation: The expected type of this term could not be determined,7,3914,0.178845
DeepSeek-Prover-V2-7B,FATE-H,Type mismatch,"numerals are data in Lean, but the expected type is a proposition",7,3914,0.178845
DeepSeek-Prover-V2-7B,FATE-H,Type mismatch,"type expected, got",7,3914,0.178845
DeepSeek-Prover-V2-7B,FATE-H,Syntax error,unexpected syntax,6,3914,0.153296
DeepSeek-Prover-V2-7B,FATE-H,Tactic failure,"tactic 'ID' failed, major premise type is not an inductive type",6,3914,0.153296
DeepSeek-Prover-V2-7B,FATE-H,Type mismatch,invalid argument: variable 'ID' is not a proposition or let-declaration,6,3914,0.153296
DeepSeek-Prover-V2-7B,FATE-H,Tactic failure,invalid alternative name 'ID',5,3914,0.127747
DeepSeek-Prover-V2-7B,FATE-H,Type mismatch,insufficient number of fields for 'ID' constructor,5,3914,0.127747
DeepSeek-Prover-V2-7B,FATE-H,Syntax error,expected token,4,3914,0.102197
DeepSeek-Prover-V2-7B,FATE-H,Syntax error,unexpected token 'TOKEN'; expected 'TOKEN' or tactic,4,3914,0.102197
DeepSeek-Prover-V2-7B,FATE-H,Syntax error,unexpected token 'TOKEN'; expected term,4,3914,0.102197
DeepSeek-Prover-V2-7B,FATE-H,Tactic failure,"tactic 'ID' failed, no applicable constructor found",4,3914,0.102197
DeepSeek-Prover-V2-7B,FATE-H,Type mismatch,cannot coerce,4,3914,0.102197
DeepSeek-Prover-V2-7B,FATE-H,Unresolved name,ambiguous term,4,3914,0.102197
DeepSeek-Prover-V2-7B,FATE-H,Syntax error,unexpected end of input; expected 'TOKEN',3,3914,0.076648
DeepSeek-Prover-V2-7B,FATE-H,Tactic failure,alternative 'ID' has not been provided,3,3914,0.076648
DeepSeek-Prover-V2-7B,FATE-H,Tactic failure,"extensionality tactic only applies to equalities, not 'TYPE'",3,3914,0.076648
DeepSeek-Prover-V2-7B,FATE-H,Tactic failure,"tactic 'ID' failed, 'TERM'",3,3914,0.076648
DeepSeek-Prover-V2-7B,FATE-H,Type mismatch,'ID' expression has type,3,3914,0.076648
DeepSeek-Prover-V2-7B,FATE-H,Type mismatch,application type mismatch: The last,3,3914,0.076648
DeepSeek-Prover-V2-7B,FATE-H,Type mismatch,don't know how to synthesize placeholder for argument 'ID',3,3914,0.076648
DeepSeek-Prover-V2-7B,FATE-H,Type mismatch,"failed to prove index is valid, possible solutions:",3,3914,0.076648
DeepSeek-Prover-V2-7B,FATE-H,Type mismatch,invalid field notation: Field projection operates on types of the form 'ID' where C is a constant. The expression,3,3914,0.076648
DeepSeek-Prover-V2-7B,FATE-H,Type mismatch,invalid projection: Projection operates on structure-like types with fields. The expression,3,3914,0.076648
DeepSeek-Prover-V2-7B,FATE-H,Type mismatch,invalid projection: index 'ID' is invalid for this structure,3,3914,0.076648
DeepSeek-Prover-V2-7B,FATE-H,Type mismatch,"invalid {...} notation, expected type is not known",3,3914,0.076648
DeepSeek-Prover-V2-7B,FATE-H,Syntax error,"unexpected token 'TOKEN'; expected 'TOKEN', 'TOKEN' or 'TOKEN'",2,3914,0.051099
DeepSeek-Prover-V2-7B,FATE-H,Syntax error,"unexpected token 'TOKEN'; expected 'TOKEN', 'TOKEN', 'TOKEN', 'TOKEN' or term",2,3914,0.051099
DeepSeek-Prover-V2-7B,FATE-H,Tactic failure,failed to rewrite using equation theorems for 'ID',2,3914,0.051099
DeepSeek-Prover-V2-7B,FATE-H,Tactic failure,"invalid simp theorem: Expected a proposition, but found",2,3914,0.051099
DeepSeek-Prover-V2-7B,FATE-H,Tactic failure,"tactic 'ID' failed, could not unify the type of 'ID'",2,3914,0.051099
DeepSeek-Prover-V2-7B,FATE-H,Tactic failure,tactic 'ID' proved that the proposition,2,3914,0.051099
DeepSeek-Prover-V2-7B,FATE-H,Type mismatch,"invalid 'ID' step, right-hand side is",2,3914,0.051099
DeepSeek-Prover-V2-7B,FATE-H,Type mismatch,"invalid field notation, function 'ID' does not have an argument with the required receiver type",2,3914,0.051099
DeepSeek-Prover-V2-7B,FATE-H,Type mismatch,"numerals are data in Lean, but the expected type is universe polymorphic and may be a proposition",2,3914,0.051099
DeepSeek-Prover-V2-7B,FATE-H,Unresolved name,unknown tactic 'ID',2,3914,0.051099
DeepSeek-Prover-V2-7B,FATE-H,Syntax error,"unexpected end of input; expected 'TOKEN', 'TOKEN' or 'TOKEN'",1,3914,0.025549
DeepSeek-Prover-V2-7B,FATE-H,Syntax error,unexpected identifier,1,3914,0.025549
DeepSeek-Prover-V2-7B,FATE-H,Syntax error,unexpected identifier; expected 'TOKEN',1,3914,0.025549
DeepSeek-Prover-V2-7B,FATE-H,Syntax error,"unexpected identifier; expected 'TOKEN', 'TOKEN' or 'TOKEN'",1,3914,0.025549
DeepSeek-Prover-V2-7B,FATE-H,Syntax error,unexpected identifier; expected command,1,3914,0.025549
DeepSeek-Prover-V2-7B,FATE-H,Syntax error,"unexpected token 'TOKEN'; expected 'TOKEN', 'TOKEN', 'TOKEN', 'TOKEN', 'TOKEN', identifier or term",1,3914,0.025549
DeepSeek-Prover-V2-7B,FATE-H,Tactic failure,'ID' could not apply 'ID' to the main goal.,1,3914,0.025549
DeepSeek-Prover-V2-7B,FATE-H,Tactic failure,case tag 'ID' not found,1,3914,0.025549
DeepSeek-Prover-V2-7B,FATE-H,Tactic failure,elaboration function for 'ID' has not been implemented,1,3914,0.025549
DeepSeek-Prover-V2-7B,FATE-H,Tactic failure,not a positivity goal,1,3914,0.025549
DeepSeek-Prover-V2-7B,FATE-H,Tactic failure,tactic 'ID' failed to unfold 'ID' in,1,3914,0.025549
DeepSeek-Prover-V2-7B,FATE-H,Tactic failure,unexpected term 'ID'; expected single reference to variable,1,3914,0.025549
DeepSeek-Prover-V2-7B,FATE-H,Type mismatch,(kernel) application type mismatch,1,3914,0.025549
DeepSeek-Prover-V2-7B,FATE-H,Type mismatch,invalid 'ID' notation: The expected type 'ID' has no constructors,1,3914,0.025549
DeepSeek-Prover-V2-7B,FATE-H,Type mismatch,"invalid 'ID' step, left-hand side is",1,3914,0.025549
DeepSeek-Prover-V2-7B,FATE-H,Type mismatch,invalid pattern: constructor or constant marked with 'ID' expected,1,3914,0.025549
DeepSeek-Prover-V2-7B,FATE-H,Type mismatch,"invalid projection: Projections cannot be used on functions, and",1,3914,0.025549
DeepSeek-Prover-V2-7B,FATE-H,Type mismatch,mod_cast has type,1,3914,0.025549
DeepSeek-Prover-V2-7B,FATE-H,Unresolved name,"overloaded, errors",1,3914,0.025549
DeepSeek-Prover-V2-7B,FATE-H,Unresolved name,unknown free variable 'ID',1,3914,0.025549
DeepSeek-Prover-V2-7B,FATE-M,Missing instance,failed to synthesize instance of type class,2028,8971,22.606175
DeepSeek-Prover-V2-7B,FATE-M,Unsolved goals,unsolved goals,1033,8971,11.514881
DeepSeek-Prover-V2-7B,FATE-M,Unresolved name,unknown identifier 'ID',906,8971,10.099209
DeepSeek-Prover-V2-7B,FATE-M,Tactic failure,tactic 'ID' made no progress,886,8971,9.876268
DeepSeek-Prover-V2-7B,FATE-M,Unresolved name,unknown constant 'ID',656,8971,7.312451
DeepSeek-Prover-V2-7B,FATE-M,Type mismatch,type mismatch,503,8971,5.606956
DeepSeek-Prover-V2-7B,FATE-M,Tactic failure,"tactic 'ID' failed, nested error",327,8971,3.645079
DeepSeek-Prover-V2-7B,FATE-M,Type mismatch,application type mismatch: The argument,293,8971,3.266080
DeepSeek-Prover-V2-7B,FATE-M,Resource exhaustion,"(deterministic) timeout at 'ID', maximum number of heartbeats (NUM) has been reached",274,8971,3.054286
DeepSeek-Prover-V2-7B,FATE-M,Tactic failure,"tactic 'ID' failed, did not find the pattern in the target expression",267,8971,2.976257
DeepSeek-Prover-V2-7B,FATE-M,Tactic failure,no goals to be solved,249,8971,2.775610
DeepSeek-Prover-V2-7B,FATE-M,Type mismatch,"type mismatch: After simplification, term",200,8971,2.229406
DeepSeek-Prover-V2-7B,FATE-M,Unresolved name,"invalid field 'ID', the environment does not contain 'ID'",162,8971,1.805819
DeepSeek-Prover-V2-7B,FATE-M,Tactic failure,linarith failed to find a contradiction,104,8971,1.159291
DeepSeek-Prover-V2-7B,FATE-M,Tactic failure,"tactic 'ID' failed, insufficient number of binders",104,8971,1.159291
DeepSeek-Prover-V2-7B,FATE-M,Tactic failure,omega could not prove the goal:,98,8971,1.092409
DeepSeek-Prover-V2-7B,FATE-M,Type mismatch,function expected at 'ID',81,8971,0.902909
DeepSeek-Prover-V2-7B,FATE-M,Tactic failure,"tactic 'ID' failed, could not unify the conclusion of 'ID'",67,8971,0.746851
DeepSeek-Prover-V2-7B,FATE-M,Tactic failure,"tactic 'ID' failed, could not unify the type of 'ID'",54,8971,0.601940
DeepSeek-Prover-V2-7B,FATE-M,Missing instance,failed to synthesize,53,8971,0.590793
DeepSeek-Prover-V2-7B,FATE-M,Type mismatch,"invalid 'ID' step, left-hand side is",52,8971,0.579646
DeepSeek-Prover-V2-7B,FATE-M,Tactic failure,"tactic 'ID' failed, 'ID' is not an inductive datatype",44,8971,0.490469
DeepSeek-Prover-V2-7B,FATE-M,Syntax error,unexpected token 'TOKEN'; expected 'TOKEN',39,8971,0.434734
DeepSeek-Prover-V2-7B,FATE-M,Type mismatch,fields missing: 'ID',34,8971,0.378999
DeepSeek-Prover-V2-7B,FATE-M,Unresolved name,'ID' is not a field of structure 'ID',31,8971,0.345558
DeepSeek-Prover-V2-7B,FATE-M,Tactic failure,tactic 'ID' failed,30,8971,0.334411
DeepSeek-Prover-V2-7B,FATE-M,Tactic failure,"tactic 'ID' failed, 'TERM'",30,8971,0.334411
DeepSeek-Prover-V2-7B,FATE-M,Type mismatch,insufficient number of fields for 'ID' constructor,30,8971,0.334411
DeepSeek-Prover-V2-7B,FATE-M,Missing instance,typeclass instance problem is stuck,29,8971,0.323264
DeepSeek-Prover-V2-7B,FATE-M,Tactic failure,"tactic 'ID' failed, the left-hand side does not match the right-hand side",24,8971,0.267529
DeepSeek-Prover-V2-7B,FATE-M,Tactic failure,invalid rewrite argument: expected an equality or iff proof or definition name,22,8971,0.245235
DeepSeek-Prover-V2-7B,FATE-M,Type mismatch,invalid 'ID' notation: The expected type 'ID' is not an inductive type,16,8971,0.178352
DeepSeek-Prover-V2-7B,FATE-M,Type mismatch,"invalid 'ID' step, right-hand side is",16,8971,0.178352
DeepSeek-Prover-V2-7B,FATE-M,Tactic failure,"tactic 'ID' failed, invalid equality proof, it is not of the form (x = t) or (t = x)",15,8971,0.167205
DeepSeek-Prover-V2-7B,FATE-M,Missing instance,type class instance expected,11,8971,0.122617
DeepSeek-Prover-V2-7B,FATE-M,Tactic failure,tactic 'ID' proved that the proposition,11,8971,0.122617
DeepSeek-Prover-V2-7B,FATE-M,Type mismatch,invalid projection: Projection operates on structure-like types with fields. The expression,11,8971,0.122617
DeepSeek-Prover-V2-7B,FATE-M,Tactic failure,could not synthesize default value for field 'ID' of 'ID' using tactics,10,8971,0.111470
DeepSeek-Prover-V2-7B,FATE-M,Tactic failure,no applicable extensionality theorem found for 'TYPE',10,8971,0.111470
DeepSeek-Prover-V2-7B,FATE-M,Tactic failure,"failed to prove strict positivity, but it would be possible to prove nonnegativity if desired",9,8971,0.100323
DeepSeek-Prover-V2-7B,FATE-M,Type mismatch,"invalid field notation, function 'ID' does not have an argument with the required receiver type",9,8971,0.100323
DeepSeek-Prover-V2-7B,FATE-M,Type mismatch,invalid field notation: Identifier or numeral expected,9,8971,0.100323
DeepSeek-Prover-V2-7B,FATE-M,Tactic failure,"tactic 'ID' failed, motive is not type correct",8,8971,0.089176
DeepSeek-Prover-V2-7B,FATE-M,Type mismatch,invalid argument name 'ID' for function 'ID',8,8971,0.089176
DeepSeek-Prover-V2-7B,FATE-M,Type mismatch,invalid field notation: Field projection operates on types of the form 'ID' where C is a constant. The expression,8,8971,0.089176
DeepSeek-Prover-V2-7B,FATE-M,Syntax error,expected token,6,8971,0.066882
DeepSeek-Prover-V2-7B,FATE-M,Type mismatch,invalid projection: Projection operates on types of the form 'ID' where C is a constant. The expression,6,8971,0.066882
DeepSeek-Prover-V2-7B,FATE-M,Unresolved name,unknown tactic 'ID',6,8971,0.066882
DeepSeek-Prover-V2-7B,FATE-M,Tactic failure,invalid alternative name 'ID',5,8971,0.055735
DeepSeek-Prover-V2-7B,FATE-M,Type mismatch,mod_cast has type,5,8971,0.055735
DeepSeek-Prover-V2-7B,FATE-M,Syntax error,unexpected token 'TOKEN'; expected command,4,8971,0.044588
DeepSeek-Prover-V2-7B,FATE-M,Tactic failure,alternative 'ID' has not been provided,4,8971,0.044588
DeepSeek-Prover-V2-7B,FATE-M,Tactic failure,"tactic 'ID' failed, major premise type is not an inductive type",4,8971,0.044588
DeepSeek-Prover-V2-7B,FATE-M,Type mismatch,don't know how to synthesize implicit argument 'ID',4,8971,0.044588
DeepSeek-Prover-V2-7B,FATE-M,Type mismatch,invalid argument: variable 'ID' is not a proposition or let-declaration,4,8971,0.044588
DeepSeek-Prover-V2-7B,FATE-M,Type mismatch,"invalid {...} notation, expected type is not known",4,8971,0.044588
DeepSeek-Prover-V2-7B,FATE-M,Type mismatch,"numerals are data in Lean, but the expected type is a proposition",4,8971,0.044588
DeepSeek-Prover-V2-7B,FATE-M,Syntax error,unexpected end of input; expected 'TOKEN',3,8971,0.033441
DeepSeek-Prover-V2-7B,FATE-M,Tactic failure,interval_cases failed: could not find upper bound on 'TERM',3,8971,0.033441
DeepSeek-Prover-V2-7B,FATE-M,Type mismatch,'ID' expression has type,3,8971,0.033441
DeepSeek-Prover-V2-7B,FATE-M,Type mismatch,"failed to elaborate eliminator, expected type is not available",3,8971,0.033441
DeepSeek-Prover-V2-7B,FATE-M,Type mismatch,"invalid 'ID' notation, the equality",3,8971,0.033441
DeepSeek-Prover-V2-7B,FATE-M,Type mismatch,invalid 'ID' notation: The expected type,3,8971,0.033441
DeepSeek-Prover-V2-7B,FATE-M,Unresolved name,"overloaded, errors",3,8971,0.033441
DeepSeek-Prover-V2-7B,FATE-M,Resource exhaustion,maximum recursion depth has been reached,2,8971,0.022294
DeepSeek-Prover-V2-7B,FATE-M,Syntax error,unexpected syntax,2,8971,0.022294
DeepSeek-Prover-V2-7B,FATE-M,Tactic failure,aesop: exceeded maximum number of normalisation iterations (NUM). This means normalisation probably got stuck in an infinite loop.,2,8971,0.022294
DeepSeek-Prover-V2-7B,FATE-M,Tactic failure,"extensionality tactic only applies to equalities, not 'TYPE'",2,8971,0.022294
DeepSeek-Prover-V2-7B,FATE-M,Type mismatch,failed to infer 'ID' declaration type,2,8971,0.022294
DeepSeek-Prover-V2-7B,FATE-M,Type mismatch,invalid projection: Cannot project a value of non-propositional type,2,8971,0.022294
DeepSeek-Prover-V2-7B,FATE-M,Type mismatch,"numerals are data in Lean, but the expected type is universe polymorphic and may be a proposition",2,8971,0.022294
DeepSeek-Prover-V2-7B,FATE-M,Type mismatch,stuck at solving universe constraint,2,8971,0.022294
DeepSeek-Prover-V2-7B,FATE-M,Unresolved name,ambiguous term,2,8971,0.022294
DeepSeek-Prover-V2-7B,FATE-M,Missing instance,aesop: error in norm simp: failed to synthesize,1,8971,0.011147
DeepSeek-Prover-V2-7B,FATE-M,Syntax error,unexpected identifier; expected 'TOKEN',1,8971,0.011147
DeepSeek-Prover-V2-7B,FATE-M,Syntax error,unexpected token 'TOKEN'; expected 'TOKEN' or identifier,1,8971,0.011147
DeepSeek-Prover-V2-7B,FATE-M,Syntax error,unexpected token 'TOKEN'; expected 'TOKEN' or tactic,1,8971,0.011147
DeepSeek-Prover-V2-7B,FATE-M,Syntax error,"unexpected token 'TOKEN'; expected 'TOKEN', 'TOKEN'",1,8971,0.011147
DeepSeek-Prover-V2-7B,FATE-M,Syntax error,unexpected token 'TOKEN'; expected rcasesPat,1,8971,0.011147
DeepSeek-Prover-V2-7B,FATE-M,Tactic failure,aesop: internal error: introducing rapps not found for these mvars: [_uniq.NUM],1,8971,0.011147
DeepSeek-Prover-V2-7B,FATE-M,Tactic failure,"failed to prove nonzeroness, but it would be possible to prove nonnegativity if desired",1,8971,0.011147
DeepSeek-Prover-V2-7B,FATE-M,Tactic failure,invalid 'ID' modifier: Cannot be applied to a rule that rewrites to 'ID',1,8971,0.011147
DeepSeek-Prover-V2-7B,FATE-M,Tactic failure,"invalid 'ID' tactic, expected type has not been provided",1,8971,0.011147
DeepSeek-Prover-V2-7B,FATE-M,Type mismatch,don't know how to synthesize placeholder for argument 'ID',1,8971,0.011147
DeepSeek-Prover-V2-7B,FATE-M,Type mismatch,"failed to prove index is valid, possible solutions:",1,8971,0.011147
DeepSeek-Prover-V2-7B,FATE-M,Type mismatch,"invalid 'ID' notation, argument",1,8971,0.011147
DeepSeek-Prover-V2-7B,FATE-M,Type mismatch,"invalid 'ID' notation, expected result type of cast is",1,8971,0.011147
DeepSeek-Prover-V2-7B,FATE-M,Type mismatch,"invalid projection: Projections cannot be used on functions, and",1,8971,0.011147
DeepSeek-Prover-V2-7B,ProofNet,Unsolved goals,unsolved goals,2450,11300,21.681416
DeepSeek-Prover-V2-7B,ProofNet,Missing instance,failed to synthesize,1289,11300,11.407080
DeepSeek-Prover-V2-7B,ProofNet,Unresolved name,unknown identifier 'ID',873,11300,7.725664
DeepSeek-Prover-V2-7B,ProofNet,Type mismatch,type mismatch,868,11300,7.681416
DeepSeek-Prover-V2-7B,ProofNet,Type mismatch,application type mismatch,846,11300,7.486726
DeepSeek-Prover-V2-7B,ProofNet,Tactic failure,tactic 'ID' made no progress,835,11300,7.389381
DeepSeek-Prover-V2-7B,ProofNet,Unresolved name,"invalid field 'ID', the environment does not contain 'ID'",613,11300,5.424779
DeepSeek-Prover-V2-7B,ProofNet,Resource exhaustion,"(deterministic) timeout at 'ID', maximum number of heartbeats (NUM) has been reached",556,11300,4.920354
DeepSeek-Prover-V2-7B,ProofNet,Unresolved name,unknown constant 'ID',416,11300,3.681416
DeepSeek-Prover-V2-7B,ProofNet,Tactic failure,linarith failed to find a contradiction,323,11300,2.858407
DeepSeek-Prover-V2-7B,ProofNet,Type mismatch,"invalid field notation, type is not of the form (C ...) where C is a constant",242,11300,2.141593
DeepSeek-Prover-V2-7B,ProofNet,Tactic failure,omega could not prove the goal:,237,11300,2.097345
DeepSeek-Prover-V2-7B,ProofNet,Tactic failure,"tactic 'ID' failed, nested error",178,11300,1.575221
DeepSeek-Prover-V2-7B,ProofNet,Tactic failure,"tactic 'ID' failed, did not find the pattern in the target expression",177,11300,1.566372
DeepSeek-Prover-V2-7B,ProofNet,Tactic failure,"tactic 'ID' failed, failed to unify",173,11300,1.530973
DeepSeek-Prover-V2-7B,ProofNet,Tactic failure,"tactic 'ID' failed, insufficient number of binders",144,11300,1.274336
DeepSeek-Prover-V2-7B,ProofNet,Tactic failure,"tactic 'ID' failed, equality or iff proof expected",116,11300,1.026549
DeepSeek-Prover-V2-7B,ProofNet,Tactic failure,no goals to be solved,110,11300,0.973451
DeepSeek-Prover-V2-7B,ProofNet,Type mismatch,function expected at 'ID',92,11300,0.814159
DeepSeek-Prover-V2-7B,ProofNet,Tactic failure,rcases tactic failed: 'ID' is not an inductive datatype,91,11300,0.805310
DeepSeek-Prover-V2-7B,ProofNet,Unresolved name,"ambiguous, possible interpretations",66,11300,0.584071
DeepSeek-Prover-V2-7B,ProofNet,Missing instance,"typeclass instance problem is stuck, it is often due to metavariables",42,11300,0.371681
DeepSeek-Prover-V2-7B,ProofNet,Tactic failure,"aesop: error in norm simp: tactic 'ID' failed, nested error",41,11300,0.362832
DeepSeek-Prover-V2-7B,ProofNet,Type mismatch,"invalid constructor ⟨...⟩, expected type must be an inductive type",36,11300,0.318584
DeepSeek-Prover-V2-7B,ProofNet,Tactic failure,tactic 'ID' failed,35,11300,0.309735
DeepSeek-Prover-V2-7B,ProofNet,Syntax error,unexpected token 'TOKEN'; expected 'TOKEN',29,11300,0.256637
DeepSeek-Prover-V2-7B,ProofNet,Unresolved name,"ambiguous term, use fully qualified name, possible interpretations ['ID']",27,11300,0.238938
DeepSeek-Prover-V2-7B,ProofNet,Tactic failure,rcases tactic failed: 'TERM',23,11300,0.203540
DeepSeek-Prover-V2-7B,ProofNet,Syntax error,expected token,22,11300,0.194690
DeepSeek-Prover-V2-7B,ProofNet,Type mismatch,stuck at solving universe constraint,17,11300,0.150442
DeepSeek-Prover-V2-7B,ProofNet,Missing instance,type class instance expected,14,11300,0.123894
DeepSeek-Prover-V2-7B,ProofNet,Tactic failure,"tactic 'ID' failed, motive is not type correct",14,11300,0.123894
DeepSeek-Prover-V2-7B,ProofNet,Type mismatch,"numerals are data in Lean, but the expected type is a proposition",14,11300,0.123894
DeepSeek-Prover-V2-7B,ProofNet,Tactic failure,"tactic 'ID' failed, possible reasons",13,11300,0.115044
DeepSeek-Prover-V2-7B,ProofNet,Type mismatch,mod_cast has type,13,11300,0.115044
DeepSeek-Prover-V2-7B,ProofNet,Syntax error,unexpected token 'TOKEN'; expected command,12,11300,0.106195
DeepSeek-Prover-V2-7B,ProofNet,Type mismatch,don't know how to synthesize implicit argument 'ID',12,11300,0.106195
DeepSeek-Prover-V2-7B,ProofNet,Unresolved name,"overloaded, errors",12,11300,0.106195
DeepSeek-Prover-V2-7B,ProofNet,Unresolved name,unknown tactic 'ID',11,11300,0.097345
DeepSeek-Prover-V2-7B,ProofNet,Tactic failure,tauto failed to solve some goals.,10,11300,0.088496
DeepSeek-Prover-V2-7B,ProofNet,Type mismatch,invalid argument name 'ID' for function 'ID',10,11300,0.088496
DeepSeek-Prover-V2-7B,ProofNet,Type mismatch,"invalid projection, structure expected",10,11300,0.088496
DeepSeek-Prover-V2-7B,ProofNet,Syntax error,unexpected identifier; expected 'TOKEN',9,11300,0.079646
DeepSeek-Prover-V2-7B,ProofNet,Type mismatch,"invalid constructor ⟨...⟩, insufficient number of arguments for 'ID'",9,11300,0.079646
DeepSeek-Prover-V2-7B,ProofNet,Type mismatch,failed to infer 'ID' declaration type,8,11300,0.070796
DeepSeek-Prover-V2-7B,ProofNet,Type mismatch,invalid argument: variable 'ID' is not a proposition or let-declaration,8,11300,0.070796
DeepSeek-Prover-V2-7B,ProofNet,Type mismatch,"invalid projection, structure has only NUM field(s)",8,11300,0.070796
DeepSeek-Prover-V2-7B,ProofNet,Tactic failure,"tactic 'ID' failed, invalid equality proof, it is not of the form (x = t) or (t = x)",7,11300,0.061947
DeepSeek-Prover-V2-7B,ProofNet,Tactic failure,"tactic 'ID' failed, 'ID' is not an inductive datatype",6,11300,0.053097
DeepSeek-Prover-V2-7B,ProofNet,Type mismatch,"invalid constructor ⟨...⟩, expected type must be an inductive type with only one constructor",6,11300,0.053097
DeepSeek-Prover-V2-7B,ProofNet,Tactic failure,aesop: exceeded maximum number of normalisation iterations (NUM). This means normalisation probably got stuck in an infinite loop.,5,11300,0.044248
DeepSeek-Prover-V2-7B,ProofNet,Tactic failure,failed to prove positivity/nonnegativity/nonzeroness,5,11300,0.044248
DeepSeek-Prover-V2-7B,ProofNet,Tactic failure,not a positivity goal,5,11300,0.044248
DeepSeek-Prover-V2-7B,ProofNet,Tactic failure,"tactic 'ID' failed, major premise type is not an inductive type",5,11300,0.044248
DeepSeek-Prover-V2-7B,ProofNet,Type mismatch,fields missing: 'ID',5,11300,0.044248
